line("???#...#.?#??#?#? 1,1,1,8").
line("??###???.???#?.## 6,2,1,2").
line("????#??#?##. 3,1,4").
line("#????#??#?????#?.?? 1,8,2,1,2").
line("#.???#?????.? 1,4,1,1").
line("#?.??.?????#?##.? 1,1,4,4,1").
line(".??.???????? 1,1,1,1").
line("??.?##?????.. 1,6").
line("??#???.???? 1,1,1").
line(".?.?.??##?????#?? 1,1,10,1").
line("?????????????? 9,1").
line("??#.#.??#???? 1,1,5,1").
line(".???????#?#????.?.#? 5,4,2,2").
line(".#??#??#?.? 1,5").
line("?##?#??##??#??#?.??? 15,1").
line("?#?#????????#?.?.# 3,3,2,1,1,1").
line("???#??.?????#??.. 3,6").
line("???#??..???#?.?.??? 1,2").
line("##???#.?.. 3,1,1").
line("??.??#?#?#???##?#?.? 2,1,1,1,9").
line(".#????#?#????#?#?. 9,4").
line("???#?###.##. 1,1,3,2").
line("????#.?..???#?? 1,3").
line(".#.????#???.#??? 1,6,1,1,1").
line("??#.?.?#???.#?..#?. 2,1,2,1,1,2").
line("?#????..?? 2,1").
line("????.?#???#.???? 3,5,3").
line("??????????##.???#.#? 1,3,1,2,4,1").
line("?.?#.????#???##.? 1,8").
line("#?.#????.? 1,3").
line(".#???#.?#?????.?? 1,3,5,1").
line("?.#????##?? 1,3,3").
line("##?.?.#.??????#?? 3,1,1,4,1").
line("????.??.?.????? 1,1,1,1,2").
line(".?#?##.??#???? 4,6").
line("?.?????.?#.. 2,1,1").
line("????.?#??# 1,1,1").
line("#.####??#?.#??# 1,8,1,1").
line(".??.##???? 1,2,1").
line("??..???.#. 2,1,1").
line("?..????.??? 1,2").
line(".??????#...?.????? 1,1").
line("???.??#???##?? 1,3,4").
line("????#??#?#??????##?? 1,5,1,1,5").
line("?#???..???#???#??? 2,6").
line("??????.??##?. 2,3").
line("??#?????##??#.#?#??# 3,7,6").
line("???.?????##?? 1,7").
line(".?#??#?.?.?? 1,1,1,1").
line("??.????#?? 1,2,1").
line("???###.#???? 4,2,1").
line("?.?#????.???????.. 3,1,6").
line("???.??.#?#..??##. 1,1,1,1,4").
line("????#????#.?##? 2,1,2,3").
line("??#?##?#??.??????? 8,3").
line("..#???#????.??? 1,3,1,2").
line("??#?.?.???????.#.?? 3,1,1,5,1,1").
line("?????#??.?? 1,2,1").
line("????????..?#??#??.## 1,1,2,6,2").
line(".#??????##??.?.??.?? 9,1,1,1").
line("??##??#?????. 8,2").
line("#.?.?????? 1,2").
line(".????#?#???#..??# 2,7,3").
line("?.?#?????????.#? 1,1,1,3,1").
line("..#????.?????? 3,1,1,2").
line("??#??#?.????.???.? 3,2,1,1,2").
line("#???#.??.##??# 3,1,5").
line("?.?.?#?##.???? 1,1,4,2").
line(".?###..??#??????## 4,1,4").
line("???#??????#. 2,4").
line("??####????#?.??.. 7,1,1").
line("#?.??????#? 1,2,1").
line(".?##?#????????#?.??? 3,1,1,1,5,3").
line("?.???#?##?.. 2,4").
line("????#???..?##?# 1,1,1,3,1").
line("??#??.#?.?????.? 4,1,4,1").
line("???#.???.??. 4,1,2").
line("?#?#...??#. 2,1,3").
line("????#.?#..??. 1,2,2,2").
line("?.#??#????#?##??? 12,1").
line("??#??????#? 6,3").
line("???.????#??? 1,1,1,2").
line("???#.????.????? 1,2,5").
line("??.?.??#??.??#??? 1,1,5,1,3").
line("??#??????? 2,2").
line("?.??#???????##??? 1,6,3").
line("???#?#?.???#????#?? 7,1,8").
line(".????????????? 3,1,2,1").
line("?????##?#?#??.... 1,8,1").
line(".?##???????#.???. 3,2").
line("???.???????? 1,1,1,1").
line("???#.?????????#?#..? 1,1,1,9,1").
line("?##???#????.??#?#? 10,4").
line("#??.????????? 3,2,1,1").
line("?#?..???#?#?? 3,1,6").
line("?##?#.?##?. 4,4").
line("?#.#?..?#???? 1,2,3,1").
line("??.##??#??#?#? 2,5,4").
line("????##?#???.#.??... 8,1,1").
line("##???????..?.?#??.? 2,4,2").
line("?.?#.?#???. 1,4").
line(".?#.??.????? 1,1,1,1").
line("??????.???.?#?##??.? 2,4").
line("???.????.??#??.?? 1,1,2,4,2").
line("###?#??#.???????? 8,3").
line("???..??#.????. 2,1,1").
line("???.?##???.??????# 2,6,4").
line(".?#?##.?#?????.?? 5,4,1").
line(".??..??.?#? 2,2").
line(".?#??????.##?#? 4,2,2,2").
line("???##.?.?.#???. 2,1,1").
line("?????#???#? 7,1").
line(".#?.???#?.??# 1,3,1,1").
line("?.#?..?#??#####?# 2,10").
line("??#?##???#?#???#?#? 1,8,1,1,1,1").
line("??????#.??#?###. 2,1,6").
line("?#?#?#???#??##???# 1,3,9,1").
line("?#???.????#.??#?#?? 1,1,2,2,3,3").
line("?#?#.#.??.?#??????? 3,1,2,3,1,2").
line(".?#?...?????#.??? 3,4,1,2").
line("?????????#?#?.?# 1,1,1,5,1").
line("##?#?#.???????#?? 6,4").
line("?#??#?????????# 3,1,4,2").
line("???#???#????.?? 1,6,1,1,1").
line("?#.????##?.? 2,6").
line("?.???##??.?#??#? 3,4").
line("??#?????#.?#?. 2,1,1,3").
line("?.?????#?#??#.?.#??? 11,2,1").
line("????#???#?? 1,3,1").
line("???.?#.???.???. 1,1,2,1,1").
line("??????#?..??#? 5,2").
line(".?.?#.?#??. 1,4").
line("?#.??????##????.???? 2,7,1,1,1").
line("?#?#?.?????. 3,1,1").
line("???.##.?.#?. 3,2,1,2").
line("..????????#.####??? 6,5").
line("??#.??..?##?##????#? 1,1,9,1").
line("?#???.??##?.??????. 5,4,3").
line(".?...??#?????#.# 1,7,1,1").
line("??????.?#??.?.? 5,2,1").
line("???..??##?????? 2,5,1").
line("???##?#??????.#.??. 7,2,1,1,1").
line("?????????#?? 1,2,1,1").
line("??.##??.?### 1,2,1,4").
line("??####?#?###..?????? 1,10,1,1,1").
line("??.??#???#??? 1,2,4").
line("????..???#???. 1,6").
line("??????????#? 8,1").
line("#?#.?..????? 1,1,1,2").
line(".?????##???#??? 12,1").
line("##??#?..?#..? 2,2,1,1").
line("###???????. 5,1,1").
line("??.?.##?##??#?.?# 1,1,8,2").
line("???####?.????#?#???# 1,5,10").
line("??.??#???.?????#?#?? 1,1,4,6").
line("???.#??#??..??.?# 2,4,1,2").
line(".?.??##?###.???##? 8,2").
line(".#??.?#.??#?? 3,1,3").
line("????#????#??#??#??? 5,8").
line("#..#???.???#???. 1,1,1,1,3").
line("?.##?????.?#?????. 6,4,1").
line(".????????.??#?? 2,1,1,1,1").
line(".?.????????##?.?.?#? 1,1,5,3").
line("??.#???????## 1,1,1,2").
line("??????#??#???#??#??? 3,1,9,1").
line("??.#??.???#?. 3,4").
line("????.???##. 3,5").
line("#??.??#????? 2,2,1").
line("#?????#??.# 1,6,1").
line("????.??#????.??. 1,7,1").
line("##???????????. 6,1").
line(".??#?????.????#???? 5,1,1,3,1").
line("?????#??#??.?? 1,8").
line("???#..??.???.. 1,2").
line("???#?.#..????#?# 2,1,1,1,1").
line("????.?.??#??#?? 2,1,7").
line(".???#?##????#?? 2,1,4,1").
line("??#?????#?? 4,1").
line(".#????#?###?. 2,7").
line("..????#??? 3,1,1").
line("####???#..??. 6,1").
line("?#???#???##????#?#?. 2,1,10").
line("??#?#?#?.?????# 1,6,1,1,1").
line("?????.##?#?#?#?.??#? 1,2,9,1").
line(".?.????.?. 1,1,1").
line("?????????? 1,3,1").
line("#????#?????? 1,3,3").
line("#.?#..???? 1,1,1").
line("?#?????..????#.?? 1,2,4,1").
line("#?##??????.??. 1,2,3,2").
line("???#??#??. 5,1").
line("?##???.?.??#.?# 3,1,1,1,2").
line("?#?????????? 2,7").
line("??#?#???#?#?????? 2,5,1,1,1").
line("..#?..?.##?.? 2,2,1").
line("???????.???.#?##.?.? 1,4,3,4,1,1").
line("??##??###.# 7,1").
line("?###?#??.#.??..?? 4,3,1,1,2").
line("??????#??#?. 2,2,2").
line("?#?##??????..#?? 6,2,3").
